#1.12k  Assembler with 2us pulse
#Nennw C_LCR     ESR_LCR   |Vanvell       | wei_sti     | 2x16-1       | 2x16-2       | 2x16-3       | 2x16-4       | st7565_kit-1 | st7565_kit-2 | GM328Rkit    | fish8840
#               10k   100k |   5       6  |  7       8  |   9      10  |  11      12  |  13      14  |  15      16  |  17      18  |  19      20  |  21      22  |  23      24
#23nF 0.5                  |              |             |              |              |              |              |              |              |              |
23e-9  23.15e-9 0.64  0.25   23.00e-9 .53  22.94e-9 .23   23.12e-9 .37   23.00e-9 .57   23.05e-9 .35   23.06e-9 .52   23.25e-9 .55   23.03e-9 .65   23.16e-9 .80   23.00e-9 .36
#47nF                      |              |             |              |              |              |              |              |              |              |
47e-9  46.63e-9 0.24  0.12   46.44e-9 .40  46.35e-9 .24   46.68e-9 .22   46.44e-9 .39   46.56e-9 .20   46.55e-9 .28   46.99e-9 .33   46.53e-9 .33   46.74e-9 .49   46.52e-9 .23
#94nF 2x                   |              |             |              |              |              |              |              |              |              |
94e-9  92.52e-9 0.16  0.06   92.00e-9 .18  91.82e-9 .10   92.50e-9 .09   92.05e-9 .17   92.23e-9 .07   92.20e-9 .18   93.05e-9 .14   92.14e-9 .20   92.59e-9 .20   92.14e-9 .11
#               10k   100k |   5       6  |  7       8  |   9      10  |  11      12  |  13      14  |  15      16  |  17      18  |  19      20  |  21      22  |  23      24
#50nF 0.5                  |              |             |              |              |              |              |              |              |              |
50e-9  49.72e-9 3.00  0.60   50.06e-9 1.1  49.91e-9 1.1   50.33e-9 .95   50.05e-9 1.3   50.02e-9 .99   50.09e-9 1.1   50.60e-9 1.1   50.05e-9 1.1   50.33e-9 1.3   50.02e-9 1.0
#100nF                     |              |             |              |              |              |              |              |              |              |
100e-9 100.4e-9 1.56  0.29   101.0e-9 .53  100.8e-9 .48   101.6e-9 .46   101.2e-9 .57   101.3e-9 .48   101.2e-9 .51   102.2e-9 .54   100.9e-9 .56   101.6e-9 .66   101.2e-9 .48
#200nF 2x                  |              |             |              |              |              |              |              |              |              |
200e-9 198.9e-9 0.83  0.14   200.3e-9 .26  200.0e-9 .24   201.4e-9 .22   200.3e-9 .23   200.9e-9 .20   200.6e-9 .23   202.6e-9 .26   200.2e-9 .26   201.4e-9 .28   200.6e-9 .23
# ---------     10k   100k |              |             |              |              |              |              |              |              |              |
# 0.47uF gelb              |              |             |              |              |              |              |              |              |              |
470e-9 486.4e-9 0.06  0.02   484.4e-9 .06  483.5e-9 .06   486.6e-9 .02   484.3e-9 .00   485.2e-9 .00   485.4e-9 .02   489.6e-9 .04   484.5e-9 .04   486.6e-9 .05   484.8e-9 .03
#               10k   100k |   5       6  |  7       8  |   9      10  |  11      12  |  13      14  |  15      16  |  17      18  |  19      20  |  21      22  |  23      24
# 0.68uF WIMA MKS          |              |             |              |              |              |              |              |              |              |
680e-9 618.4e-9 0.28  0.06   616.1e-9 .11  614.5e-9 .09   619.3e-9 .05   615.9e-9 .01   617.7e-9 .08   617.4e-9 .07   623.2e-9 .07   616.7e-9 .12   619.8e-9 .10   616.0e-9 .05
#               10k   100k |   5       6  |  7       8  |   9      10  |  11      12  |  13      14  |  15      16  |  17      18  |  19      20  |  21      22  |  23      24
# 1uF 160V                 |              |             |              |              |              |              |              |              |              |
1e-6   954.8e-9 0.56  0.46   950.5e-9 .51  947.5e-9 .50   954.5e-9 .44   950.1e-9 .44   952.3e-9 .49   952.0e-9 .49   960.9e-9 .45   950.7e-9 .51   955.5e-9 .44   950.3e-9 .44
#               10k   100k |   5       6  |  7       8  |   9      10  |  11      12  |  13      14  |  15      16  |  17      18  |  19      20  |  21      22  |  23      24
# 2.2uF 100V gelb          |              |             |              |              |              |              |              |              |              |
2.2e-6 2175e-9 0.07  0.02     2162e-9 .04   2156e-9 .04    2178e-9 .00    2160e-9 .00    2165e-9 .02    2164e-9 .05    2186e-9 .03    2163e-9 .06    2172e-9 .00    2160e-9 .00
